# freq_w_over_2pi_THz  G_native_avg_eV_ps^-1_THz^-1_A^-2_K^-1  G_native_stderr_eV_ps^-1_THz^-1_A^-2_K^-1
# Averaged over 8 jobs
5.2457469243e+00 8.8424783896e-06 2.3382568666e-07
5.2584793198e+00 8.8979379056e-06 2.3905146394e-07
5.2712117152e+00 8.9552673539e-06 2.4377421820e-07
5.2839441107e+00 9.0144651914e-06 2.4795837602e-07
5.2966765061e+00 9.0755208569e-06 2.5156730038e-07
5.3094089015e+00 9.1384229748e-06 2.5456914483e-07
5.3221412970e+00 9.2031550327e-06 2.5694713169e-07
5.3348736924e+00 9.2697075365e-06 2.5867890433e-07
5.3476060879e+00 9.3380438786e-06 2.5975097223e-07
5.3603384833e+00 9.4081371089e-06 2.6015645176e-07
5.3730708788e+00 9.4799479306e-06 2.5989103768e-07
5.3858032742e+00 9.5534316107e-06 2.5895629718e-07
5.3985356697e+00 9.6285335696e-06 2.5735675321e-07
5.4112680651e+00 9.7051869336e-06 2.5510356234e-07
5.4240004606e+00 9.7833215651e-06 2.5221075183e-07
5.4367328560e+00 9.8628539779e-06 2.4869349300e-07
5.4494652515e+00 9.9436973262e-06 2.4457574166e-07
5.4621976469e+00 1.0025747926e-05 2.3988156885e-07
5.4749300424e+00 1.0108897639e-05 2.3463891274e-07
5.4876624378e+00 1.0193023758e-05 2.2888451338e-07
5.5003948333e+00 1.0278001099e-05 2.2265337097e-07
5.5131272287e+00 1.0363705994e-05 2.1598855372e-07
5.5258596242e+00 1.0449982607e-05 2.0893773781e-07
5.5385920196e+00 1.0536691231e-05 2.0155343594e-07
5.5513244150e+00 1.0623674797e-05 1.9389359977e-07
5.5640568105e+00 1.0710792713e-05 1.8603741272e-07
5.5767892059e+00 1.0797856620e-05 1.7804215897e-07
5.5895216014e+00 1.0884733898e-05 1.7001549243e-07
5.6022539968e+00 1.0971245444e-05 1.6204817169e-07
5.6149863923e+00 1.1057238243e-05 1.5425509503e-07
5.6277187877e+00 1.1142524310e-05 1.4675247370e-07
5.6404511832e+00 1.1226995988e-05 1.3970806236e-07
5.6531835786e+00 1.1310443017e-05 1.3325264051e-07
