# coord_A   integrated_rho
2.310000000000000142e+01 -5.437264519630375936e+00
2.314285714285714235e+01 -5.595582142815321625e+00
2.318571428571428683e+01 -5.754949255673006192e+00
2.322857142857142776e+01 -5.909988717751874177e+00
2.327142857142857224e+01 -6.056051455782742288e+00
2.331428571428571317e+01 -6.189231068850446604e+00
2.335714285714285765e+01 -6.306360350232429468e+00
2.339999999999999858e+01 -6.404941373255993220e+00
2.344285714285714306e+01 -6.483067490621942319e+00
2.348571428571428754e+01 -6.539353008663739253e+00
2.352857142857142847e+01 -6.572876236104752579e+00
2.357142857142857295e+01 -6.583138374959339068e+00
2.361428571428571388e+01 -6.570039415664805205e+00
2.365714285714285836e+01 -6.533872367029283978e+00
2.369999999999999929e+01 -6.475337727474669514e+00
2.374285714285714377e+01 -6.395579862179418207e+00
2.378571428571428470e+01 -6.296244932960658680e+00
2.382857142857142918e+01 -6.179556016620740166e+00
2.387142857142857011e+01 -6.048387904696251205e+00
