# freq_THz  kappa_Wm-1K-1THz-1  kappa_err  G_Wm-2K-1THz-1  G_err  lambda_m  lambda_err_m
3.0876059000e+00 1.7630615100e+01 9.4617688600e-01 4.5396553199e+07 3.3609120832e+06 3.8836902491e-07 3.5512359902e-08
3.1194368800e+00 1.7801397300e+01 9.0904812200e-01 4.6310718429e+07 3.3732010719e+06 3.8439043711e-07 3.4193874385e-08
3.1512678700e+00 1.7973582200e+01 8.7809906000e-01 4.7066720886e+07 3.3827222458e+06 3.8187453601e-07 3.3186236016e-08
3.1830988600e+00 1.8146929800e+01 8.5339288800e-01 4.7686809176e+07 3.3939922881e+06 3.8054401444e-07 3.2462562757e-08
3.2149298500e+00 1.8321225300e+01 8.3496751800e-01 4.8177998329e+07 3.4115113407e+06 3.8028199459e-07 3.2023053953e-08
3.2467608400e+00 1.8496190500e+01 8.2274712500e-01 4.8572396970e+07 3.4384527382e+06 3.8079632988e-07 3.1836731217e-08
3.2785918300e+00 1.8671610600e+01 8.1674434700e-01 4.8890412381e+07 3.4788530184e+06 3.8190740660e-07 3.1899235804e-08
3.3104228200e+00 1.8847182400e+01 8.1685808300e-01 4.9166279526e+07 3.5336602691e+06 3.8333554179e-07 3.2172754327e-08
3.3422538000e+00 1.9022627800e+01 8.2298723600e-01 4.9427795230e+07 3.6044502540e+06 3.8485689502e-07 3.2632557254e-08
3.3740847900e+00 1.9197694100e+01 8.3503070500e-01 4.9703656464e+07 3.6884739940e+06 3.8624309489e-07 3.3223549985e-08
3.4059157800e+00 1.9372040000e+01 8.5284947900e-01 5.0022099778e+07 3.7825740558e+06 3.8726962854e-07 3.3886137942e-08
3.4377467700e+00 1.9545362400e+01 8.7626663300e-01 5.0400823369e+07 3.8801271397e+06 3.8779847418e-07 3.4548251599e-08
3.4695777600e+00 1.9717370400e+01 9.0509260700e-01 5.0862330365e+07 3.9733435114e+06 3.8766156128e-07 3.5125178901e-08
3.5014087500e+00 1.9887710300e+01 9.3912520100e-01 5.1411214385e+07 4.0545695617e+06 3.8683603447e-07 3.5558673131e-08
3.5332397400e+00 2.0056104000e+01 9.7813694200e-01 5.2060648345e+07 4.1146531742e+06 3.8524499094e-07 3.5778390521e-08
3.5650707300e+00 2.0222185100e+01 1.0218371700e+00 5.2803349766e+07 4.1490194207e+06 3.8297163323e-07 3.5777321918e-08
3.5969017100e+00 2.0385637600e+01 1.0699857700e+00 5.3642697992e+07 4.1513430389e+06 3.8002632908e-07 3.5535882757e-08
