# freq_w_over_2pi_THz  G_paper_avg_MW_m^-2_K^-1_THz^-1  G_paper_stderr_MW_m^-2_K^-1_THz^-1
# Averaged over 8 jobs
4.5963947565e+00 1.1576444800e+02 2.1716684216e+00
4.6091271519e+00 1.1675665703e+02 2.1557773302e+00
4.6218595474e+00 1.1771400947e+02 2.1335881069e+00
4.6345919428e+00 1.1863478081e+02 2.1052332027e+00
4.6473243383e+00 1.1951757932e+02 2.0709314810e+00
4.6600567337e+00 1.2036136012e+02 2.0311289589e+00
4.6727891292e+00 1.2116500400e+02 1.9865690086e+00
4.6855215246e+00 1.2192779644e+02 1.9381729967e+00
4.6982539201e+00 1.2264910243e+02 1.8871537370e+00
4.7109863155e+00 1.2332869569e+02 1.8349350619e+00
4.7237187110e+00 1.2396640621e+02 1.7832240265e+00
4.7364511064e+00 1.2456232346e+02 1.7339400634e+00
4.7491835019e+00 1.2511674774e+02 1.6891084777e+00
4.7619158973e+00 1.2563031140e+02 1.6508439572e+00
4.7746482928e+00 1.2610355322e+02 1.6211508910e+00
4.7873806882e+00 1.2653753453e+02 1.6018474837e+00
4.8001130837e+00 1.2693324751e+02 1.5941892018e+00
4.8128454791e+00 1.2729197340e+02 1.5989954852e+00
4.8255778745e+00 1.2761505701e+02 1.6162485428e+00
4.8383102700e+00 1.2790413640e+02 1.6453720497e+00
4.8510426654e+00 1.2816081381e+02 1.6850835769e+00
4.8637750609e+00 1.2838694823e+02 1.7337431488e+00
4.8765074563e+00 1.2858420714e+02 1.7893676490e+00
4.8892398518e+00 1.2875472778e+02 1.8498566625e+00
4.9019722472e+00 1.2890035732e+02 1.9131982048e+00
4.9147046427e+00 1.2902322224e+02 1.9774551846e+00
4.9274370381e+00 1.2912533368e+02 2.0409162878e+00
4.9401694336e+00 1.2920876428e+02 2.1020417352e+00
4.9529018290e+00 1.2927554965e+02 2.1595513915e+00
4.9656342245e+00 1.2932772809e+02 2.2124114822e+00
4.9783666199e+00 1.2936738123e+02 2.2598036810e+00
4.9910990154e+00 1.2939643766e+02 2.3012005846e+00
5.0038314108e+00 1.2941674626e+02 2.3362032591e+00
5.0165638063e+00 1.2943035709e+02 2.3647132206e+00
5.0292962017e+00 1.2943884568e+02 2.3868340969e+00
5.0420285972e+00 1.2944407298e+02 2.4027801808e+00
5.0547609926e+00 1.2944763752e+02 2.4130464802e+00
5.0674933880e+00 1.2945110310e+02 2.4182817212e+00
5.0802257835e+00 1.2945597030e+02 2.4193189724e+00
5.0929581789e+00 1.2946368399e+02 2.4170490860e+00
5.1056905744e+00 1.2947554880e+02 2.4125418065e+00
5.1184229698e+00 1.2949283118e+02 2.4069805499e+00
5.1311553653e+00 1.2951673028e+02 2.4016011463e+00
5.1438877607e+00 1.2954839323e+02 2.3976988833e+00
5.1566201562e+00 1.2958895695e+02 2.3965263016e+00
5.1693525516e+00 1.2963945572e+02 2.3993648445e+00
5.1820849471e+00 1.2970074365e+02 2.4073119283e+00
5.1948173425e+00 1.2977403606e+02 2.4214439663e+00
5.2075497380e+00 1.2986012518e+02 2.4425698318e+00
5.2202821334e+00 1.2996002285e+02 2.4713654529e+00
5.2330145289e+00 1.3007463736e+02 2.5082700303e+00
5.2457469243e+00 1.3020490173e+02 2.5534723375e+00
5.2584793198e+00 1.3035188247e+02 2.6070129231e+00
5.2712117152e+00 1.3051635609e+02 2.6686579018e+00
5.2839441107e+00 1.3069947266e+02 2.7380612289e+00
5.2966765061e+00 1.3090212677e+02 2.8146678810e+00
5.3094089015e+00 1.3112548100e+02 2.8979224215e+00
5.3221412970e+00 1.3137049311e+02 2.9870937334e+00
5.3348736924e+00 1.3163842647e+02 3.0814565006e+00
5.3476060879e+00 1.3193019253e+02 3.1802187689e+00
5.3603384833e+00 1.3224706370e+02 3.2826205447e+00
5.3730708788e+00 1.3259015485e+02 3.3877977941e+00
5.3858032742e+00 1.3296077032e+02 3.4950665515e+00
5.3985356697e+00 1.3335998348e+02 3.6035275809e+00
5.4112680651e+00 1.3378897842e+02 3.7124614674e+00
5.4240004606e+00 1.3424901991e+02 3.8210704392e+00
5.4367328560e+00 1.3474108111e+02 3.9286682083e+00
5.4494652515e+00 1.3526639366e+02 4.0344410763e+00
5.4621976469e+00 1.3582604965e+02 4.1377486478e+00
5.4749300424e+00 1.3642087234e+02 4.2378884063e+00
5.4876624378e+00 1.3705193924e+02 4.3341999116e+00
5.5003948333e+00 1.3771997632e+02 4.4260565051e+00
5.5131272287e+00 1.3842561630e+02 4.5129083766e+00
5.5258596242e+00 1.3916961273e+02 4.5942018331e+00
5.5385920196e+00 1.3995223453e+02 4.6695008877e+00
5.5513244150e+00 1.4077386813e+02 4.7383506926e+00
5.5640568105e+00 1.4163461543e+02 4.8004655598e+00
5.5767892059e+00 1.4253438540e+02 4.8555528423e+00
5.5895216014e+00 1.4347301566e+02 4.9034657745e+00
5.6022539968e+00 1.4445002978e+02 4.9440921159e+00
5.6149863923e+00 1.4546484515e+02 4.9774231143e+00
5.6277187877e+00 1.4651659103e+02 5.0035755040e+00
5.6404511832e+00 1.4760434105e+02 5.0227213419e+00
5.6531835786e+00 1.4872680065e+02 5.0351272165e+00
5.6659159741e+00 1.4988250941e+02 5.0411506831e+00
5.6786483695e+00 1.5106983350e+02 5.0412278759e+00
